Scheme Name,Financial Benefit,Minimum Age,Target Gender,Target Location,Target Community / Category,Business Type / Industry,Plain-Text Eligibility Summary,Documents Required,How to Apply,Official Link,🔐 Softr Record ID
Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),"Monthly help: up to ₹20,000 a month for buying stock and keeping medicines ready. Extra one-time help: ₹2 lakh for women, SC/ST, disabled persons, ex-servicemen, and people in certain far or hilly areas (₹1.5 lakh for furniture, ₹0.5 lakh for computer/printer/internet). You also earn a 20% margin on every medicine sold",Not stated,All (extra money for women),"India, with special focus on hilly, island, North-Eastern, and ""aspirational"" (less developed) districts","General public; extra benefit for women, SC/ST, disabled (Divyangjan), and ex-servicemen",Medicine shop (Janaushadhi Kendra / generic medicine store),"You must have a Pharmacy degree (D.Pharma or B.Pharma), OR hire a qualified pharmacist to run the shop. NGOs and trusts can also apply if they employ a pharmacist. Government hospitals prefer trusts/NGOs but individuals can apply too.","Aadhaar Card, PAN Card, Pharmacist registration certificate, Darpan ID (NGOs only), Registration Certificate (for NGOs/trusts), SC/ST or Disability certificate (if applying for extra money), last 2 years income tax returns (private entities), last 6 months bank statement, rental/space agreement, drug license, 3 cheques + 1 cancelled cheque from an Indian nationalized bank","1. Go to the official website. 2. Fill in the form and pick your category (woman, SC, ST, disabled, etc.) — this cannot be changed later. 3. Pay ₹5,000 fee online (free if you are in a special category, with proof). 4. If approved, sign the agreement. 5. Get your drug license in the shop's name, set up the billing software, and give the required bank cheques before your medicines arrive.",https://janaushadhi.gov.in,UzaNRkrGf3qBsVJFDuPkn7
Coir Udyami Yojana,"Government pays 40% of project cost (up to ₹10 lakh) as a subsidy. You pay only 5% yourself. The bank gives a loan for the remaining 55%. Extra loan (up to 25% more) is available for running costs, but that part gets no subsidy.",18 years and above,All (special push for women),"India, extra focus on North Eastern Region",General public; special focus on SC/ST and North East communities,"Coir business (making coir fibre, yarn, rope, or coir products)","You must be an 18+ Indian citizen. There is no income limit. You must start a new coir-making unit (fibre, yarn, or products). You can apply alone, or as a company, self-help group, NGO, trust, or society. You must not have already gotten a similar government subsidy for the same purpose. Only one person per family (self or spouse) can get this help.","Filled application form, land/property title deed, proof of coir industry experience, proof of Coir Board training, machinery invoice, Industrial Establishment Certificate from District Industries Centre, workshed construction plan certified by an engineer, project profile, Caste Certificate (if SC/ST)","1. Fill the application form. 2. Submit it at your nearest Coir Board office. 3. Attend a required 5-day training program. 4. Your application is checked and sent to a selection committee. 5. If approved, it goes to the bank. 6. Once the bank approves, pay your 5% share within 30 days. 7. Coir Board sends the subsidy to the bank. 8. Bank gives you the loan within 30 days. 9. Finish setting up your unit within 6 months. 10. Officials visit and check your unit before final subsidy is settled",https://coirboard.gov.in,EuRfXetYhWPfCRJybxuWN5
Micro Credit Finance (NSFDC),"Loan up to ₹1.25 lakh (up to 90% of your business cost, max unit cost ₹1,40,000). You pay only 2.5% interest to NSFDC, but the local bank/agency may charge you up to 6.5%. Pay back over 3 years, with a 3-month break before payments start.",Not stated ,All,All India (rural and urban),Scheduled Caste (SC) only,"Small trade/business (e.g. betel leaf shop, bakery, candle making, cycle repair, goat rearing, beauty parlour, vegetable vending, incense stick making, fish vending, milch animal rearing, papad making, pickle making, tea shop, and similar work)","You must belong to a Scheduled Caste. Your family's yearly income must be below ₹3,00,000 (rural or urban). Groups like partnership firms or co-operative societies can also apply, but every single member must be SC and earn below ₹3,00,000 a year.","Passport-size photo, Aadhaar Card, Income certificate, Caste certificate, Residence proof, Bank passbook/bank details, other documents if asked","1. Go to your District Office of the State Channelizing Agency (SCA), or a bank/NBFC partnered with NSFDC. 2. Submit the application form with your caste, income, and business details. 3. The District Office checks your papers. 4. It is sent to the Head Office. 5. The Head Office checks if your business plan is workable and sends it to NSFDC. 6. NSFDC reviews it and approves it if in order. 7. Money is sent to the bank/agency. 8. The bank/agency gives you the loan. 9. You repay the loan as per the schedule given to you. Note: You cannot contact NSFDC directly — you must go through your local SCA/bank.",https://nsfdc.nic.in,CAjT5mBfJmCChrcBQDZdHN
"UNNATI (Uttar Poorva Transformative Industrialization Scheme), 2024","Government pays back part of your machine/building cost (30% in some areas, 50% in others). Government also pays part of your loan interest (3% or 5% off, for 7 years). Government also gives back all the GST you pay, for up to 10 years.",Not stated ,All,"Only the 8 North-Eastern states: Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura",All communities,"Factory/manufacturing business or service business (new or expanding). This is for larger businesses — you need to invest at least ₹1 crore in machinery, not for very small shops.","You must set up a new factory or service business, or expand an existing one, in the North-East. You need proper business registration, a signed land lease/ownership paper, GST registration, and project reports showing your plan is workable.","Detailed Project Report (DPR), land ownership/lease papers, bank appraisal report, incorporation/firm registration certificate, PAN card, GST certificate, Udyam (MSME) registration certificate","1. Go to the official UNNATI website. 2. Sign up using your email or phone number. 3. Log in and fill the online form with your business details. 4. Upload all required documents (DPR, land papers, bank report, etc.). 5. Check everything and submit online.",https://unnati.dpiit.gov.in/Account/Login,8RazV37o4ANJJU5DK3vHpT
National Apprenticeship Promotion Scheme (NAPS-2),"You get a monthly stipend while training (₹5,000 to ₹9,000, depending on your schooling level). Government pays 25% of this (up to ₹1,500/month) directly into your bank account; the company pays the rest.",14 years (18 years for risky/hazardous trades); must be 35 or younger when you register,All,"All India, with extra focus on North-East and less developed (""aspirational"") districts","General public; especially those who did short skill-training courses (like DDUGKY, PMKVY, NULM)",Not a business — this is for individuals to get on-the-job apprenticeship training and become skilled workers,"You must be between 14 and 35 years old (18+ for hazardous trades). You need an Aadhaar card with completed e-KYC on the portal. Training lasts 6 months to 2 years depending on the trade. Anyone, including those who did short skill courses before, can apply.","Aadhaar Card, other documents depending on the trade you choose","1. Go to the official Apprenticeship India website. 2. Click Login/Register and choose ""Candidate."" 3. Enter your mobile number and email to register. 4. Enter your Aadhaar number and complete e-KYC — this is required to finish registration. 5. Verify using mobile OTP.",https://www.apprenticeshipindia.gov.in,3HBkWYdZ6ho9h7JhF2KgvZ
Export Oriented Production: Large Cardamom Certified Nursery (Unit),"Money is given per seedling grown, paid straight to your bank account after the plants are ready: General category gets ₹3 per seedling (about 1/3rd of the cost). SC/ST farmers get ₹6.75 per seedling (about 3/4th of the cost).",Not stated,All,"Sikkim, Darjeeling & Kalimpong (West Bengal), and other North-Eastern states",General public; higher payment for SC/ST,Farming — growing a large cardamom plant nursery,"You must be a farmer or farmer group with land and water for a nursery. You must be able to grow at least 1,000 seedlings (up to 5,000). Officials will visit your nursery to guide and check your work. Farmer groups must be a registered group (Society/FPC/FPO/SHG).","Land ownership/possession paper (Parcha copy), Aadhaar card, SC/ST certificate (if applicable), Bank passbook copy, No Objection Certificate from panchayat (if land is not in your name)","1. Submit your application with documents to your nearest Spices Board office. 2. Submit extra documents if the officer asks (like SC/ST certificate). 3. If applying as a group, register as a legal group and sign an agreement with the Board on ₹200 stamp paper. 4. An officer inspects your nursery and gives a permit. 5. After the work is finished, a final inspection is done, and approved cases are recommended for payment (first-come-first-served).",https://www.indianspices.com,MUkhRvvzjuhJznQhvTLwsC
Northeast BPO Promotion Scheme (NEBPS),"Government pays up to 50% of your setup cost, up to ₹1 lakh per seat/workstation. Extra money if you hire mostly women (+7.5%), hire disabled workers (+2%), create more jobs than promised (+10%), or are a local entrepreneur (+5%).",Not stated,All (extra incentive for hiring women),"North-Eastern states only: Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura",General public; extra incentive for local entrepreneurs and disabled workers,"Large company setting up a call center / IT services (BPO/ITeS) office — this is for registered companies, not individuals or small shops","This is only for registered companies (Pvt Ltd, LLP, etc.), not individual people. You need at least 25 seats/workstations, a large office space, past yearly earnings of at least ₹1 crore, and the ability to run the business for at least 3 years. This is a large-business scheme, not for micro or small entrepreneurs.","Company registration certificate, PAN, GST certificate, Labour Dept. registration (if applicable), tax registration, tender documents & fee proof, seat/location details, bank account details, company contact details","1. Go to the official STPI website. 2. Read the scheme guidelines. 3. Submit your proposal/bid online. 4. Upload required documents; your proposal is reviewed. 5. If approved, set up your BPO/ITeS office. 6. Submit reports and claims online to get your payment.",https://stpi.in,VLQtsrQPYYbJtvmSEACMCa
Marketing Development Assistance (MDA) Scheme,"Money to help travel/hotel businesses promote themselves in other countries: 90% of flight tickets, 90% of stall/exhibition costs, and up to 5 nights of hotel stay (max ₹10,000/night) — total up to ₹3,50,000 per trip. Separately, up to ₹1,00,000/year for online marketing (50% of the cost).",Not stated ,All,All India (business location); promotion happens overseas,General public (business owners),"Travel & tourism business — travel agent, tour operator, hotel, bed & breakfast, homestay, motel, guest house, restaurant, or similar tourism-related business","Your business must already be officially approved by the Ministry of Tourism or your State/UT Tourism Department. Your business must have earned at least ₹1 crore to ₹2 crore in recent years to get up to 2 trips a year of support, or ₹2 crore+ to get up to 3 trips a year.","Proof of tourism business approval, a signed declaration that you are not under investigation/banned, an income certificate signed by a Chartered Accountant (for approval); for getting your money back: past 3 years' financial details, flight tickets/boarding passes, a short trip report (250 words max), and original bills/receipts for everything","1. Before your trip, get approval from the Ministry of Tourism (apply at least 21 days early). 2. Fill the approval form and attach documents; email it to mda-tourism@gov.in. 3. After your trip, fill the claim form and attach your bills, tickets, and trip report. 4. Email the claim within 45 days of finishing the trip. Note: applications are only accepted by email, not on paper.",https://tourism.gov.in,CTsQiQvQGeKmo9ffdvS8z2
One District One Product (ODOP) Awards,No money. You get a trophy and certificate only.,Not applicable,Not applicable,"All India, plus Indian Embassies abroad","Not applicable (this is for government bodies, not individuals)","Not applicable — this is not a scheme for individuals or small businesses. It is an award for States/UTs, Districts, Indian Missions Abroad, e-commerce platforms, and Central Ministries for their work promoting local products.","This award is only for government offices and official bodies — not for individual shop owners, artisans, or entrepreneurs. Only entities that did work promoting an official ODOP (One District One Product) can apply.","Proof that you are an official State/UT, District, Mission, e-commerce platform, or Ministry, proof of promotion work done, and reports showing results","1. Go to the official website and register. 2. Choose ""Individual"" or ""Organization"" as the nominator type. 3. Fill in your details (name, Aadhaar, contact info, etc.). 4. Log in, select the award category, and click ""Nominate/Apply Now."" 5. Fill the online form and submit.",https://dpiit.gov.in,BHJ6qshvWanP1Z1mSF2MeW
Petrochemicals Research & Innovation Commendation,Citation and memento; Travel Allowance and Dearness Allowance for attending the award function. Previous editions awarded ₹3 lakh to winners and ₹1 lakh to runners-up.,Not specified,All,India,"Indian citizens, institutions, industries, organisations, startups and government-created entities","Petrochemicals, polymers, research, innovation, manufacturing, startups and related fields","Applicant must be an Indian citizen or an eligible institution, industry, organisation or startup registered in India. The innovation must be an original product/process or improvement, provide useful benefits, and be no more than 3 years old. Idea-only or theoretical innovations are not eligible. Teams can have up to 5 members. Previous winners of the last 3 editions are not eligible.",Innovation highlights; detailed technical description with photos; principle and originality/novelty details; advantages over alternatives; publication/patent details; test report; user/field trial report; commercialization/collaboration details; self-appraisal; previous award details; business/collaboration details with government bodies/PSUs; 3-year action plan; signed undertaking certificate with seal; Aadhaar Card,"Apply online through the official portal. Choose the suitable category/form for Individual, Team, Industry, Academic Institution, R&D Institution or MSME. Fill in details, upload the innovation documents and technical reports, accept the undertaking and submit for screening and evaluation.",https://chemicals.gov.in/national-petrochemicals-awards,Ji2dPxzKsbbnXs6DkkbLtD
Credit Guarantee Scheme for Startups (CGSS),Government guarantee covers 85% of loan/credit up to ₹10 crore and 75% for credit up to ₹20 crore. This helps eligible startups get loans without collateral.,Not specific,All,India,All,"Startups using venture debt, working capital, debentures, or other eligible debt facilities","Must be a DPIIT-recognised startup. The startup must not be in loan default or classified as an NPA. An eligible bank, NBFC, financial institution or SEBI-registered AIF must certify the startup and provide the eligible credit facility.","DPIIT Startup Recognition Certificate, PAN, company registration documents, financial statements, loan/credit documents, KYC documents, bank details and other documents asked by the lender","Apply to an eligible bank, NBFC, financial institution or SEBI-registered AIF for an eligible loan. The Member Institution applies for the CGSS guarantee cover.",https://www.jansamarth.in,5ggUhN6ft2wbGfh1rs6kYk
Pradhan Mantri Kaushal Vikas Yojana 4.0 – Special Projects,"Free skill training. Training cost is paid by the scheme. Up to ₹500 for uniform/kit. Free assessment and re-assessment. ₹5,000 support for assistive devices for PwD candidates. Boarding, lodging and travel support may be given to women, PwD and candidates from special areas. 1-year accidental insurance and free digital certificate are also provided.",15,All; special support for women,"India; special focus on remote, hilly, border, tribal and LWE-affected areas","Marginalised and vulnerable groups, SC, ST, women, PwD and other groups needing special support","Skill training, future-skill jobs, upskilling and reskilling","Applicant must be an Indian citizen aged 15–45 years and have a valid Aadhaar. The applicant must meet the requirements of the chosen job course and belong to a marginalised/vulnerable group or another group needing special attention, or choose a future-skill job role. The person must not repeat the same job role already completed",Aadhaar Card; other documents may be required depending on the selected job role/course,"Register on the Skill India Digital website/app using mobile OTP/eKYC. Complete the profile, choose a course and nearby training centre, enrol, complete training and On-the-Job Training, then take the assessment.",https://www.skillindiadigital.gov.in/,CprQQeRdzWT9k3bRUoPyQV
Group Workshed Scheme for Shuttleless Looms,"Construction subsidy: 40% for General category (up to ₹400/sq.ft), 75% for SC (up to ₹750/sq.ft), and 90% for ST (up to ₹900/sq.ft). Maximum area: 400 sq.ft per shuttleless loom, 40% of loomage area for weaving preparation, and 125 sq.ft per dormitory person.",Not specified,All,India,"General, SC, ST powerloom weavers/entrepreneurs",Powerloom and shuttleless loom weaving,"A group must have at least 4 weavers/entrepreneurs with separate legal entities. The group must have at least 24 shuttleless looms up to 230 cm wide, or 16 looms wider than 230 cm. Each beneficiary must have at least 4 looms. Only TUFS-compatible machines can be used. Eligible applicants include State Government/agencies, registered cooperative societies, companies/LLPs formed by powerloom owners, and local powerloom associations.","Beneficiary/group registration documents, legal entity documents, details of looms and machinery, project/construction details, and any documents or information requested by the Textile Commissioner",Offline. Scheme advertisements are published in newspapers. Eligible groups can follow the application instructions given in the advertisement and submit the required documents.,https://www.txcindia.gov.in/html/powerloom.htm,EmfSkBZJkbgj66zttFsbiG
Scheme for Reimbursement of Testing and Certification Charges for Start-ups and Telecom MSEs,Start-ups: up to 75% of testing and certification charges; Micro Enterprises: up to 60%; Small Enterprises: up to 50%. Maximum reimbursement is ₹50 lakh per applicant during the scheme period.,Not specified,All,India,All,Telecom and ICT products/equipment,Applicant must be a DPIIT-registered Start-up or MSME-registered Micro/Small Enterprise incorporated in India. Annual revenue must not be more than ₹5 crore in any financial year. A Start-up must not have raised more than ₹10 crore. Testing/certification must be for telecom equipment under MTCTE or voluntary certification. The same testing cost must not have already received government reimbursement.,Certificate of Incorporation; audited financial statements; DPIIT Registration or Udyam Registration Certificate; lab TEC/NCCS designation or NABL accreditation certificate; test reports and product certificate; testing lab invoice/receipt; certification fee payment receipt; undertaking for revenue/funding limits; bank details and cancelled cheque; self-declaration of no duplicate government reimbursement; PAN card; other required documents,"Apply online through the TEC portal before the quarterly deadline. Upload the required documents. The application is checked and evaluated before approval. After approval, the reimbursement is paid to the applicant.",https://tec.gov.in/tcrs,PzKsTb2q7iU8NPVmSxDDUt
Production Linked Incentive Scheme (PLI) for IT Hardware,Incentive of 4% to 2% / 1% on net additional sales of eligible IT hardware made in India. Benefit is available for 4 years.,Not applicable,All,India,All,IT hardware manufacturing companies; Global Companies and Domestic Companies,"Must be a company registered in India and making eligible IT hardware such as laptops, tablets, All-in-One PCs or servers. The company must meet the required investment, production and sales targets and follow the scheme rules. This scheme is not for individual people or ordinary shops.",Certificate of Incorporation; company registration documents; audited financial statements; investment proof; production and sales data; bank account details; statutory approvals and licences; undertaking/declaration; other documents required by PMA,"Apply online at the PLI IT Hardware portal. Register the company, fill the application, upload documents and submit it. After approval, make eligible products in India and submit yearly incentive claims.",https://pliithw.com/,3Sh4rrHyXEMbZtGrRYxVnC
National Awards for e-Governance (NAeG),"Gold Award: ₹10 lakh to the organization, trophy and certificate. Silver Award: ₹5 lakh to the organization, trophy and certificate. Certificates for up to 4 team members.",Not applicable,All,India,All eligible organizations,"Government departments, local bodies, academic institutions, research organizations and DPIIT-defined startups with e-Governance projects","The applicant can be a Central/State/UT Government department, district, urban local body, academic institution, research organization or eligible startup. It must have an e-Governance project using technology. The project must have started between 01.10.2023 and 30.09.2025 and be fully working on 01.12.2025. The project should improve innovation, efficiency, transparency or citizen services. Only one project can be submitted in one category.",Project proposal with details; self-certification form; proof that the project was implemented and is working; organization registration details and email; team member details (up to 3 members plus project head); documents showing project impact and results; presentation materials if shortlisted,"Apply online on the National e-Governance portal. Register the organization, log in, select an award category, fill the project details, upload documents and submit before the deadline. Shortlisted applicants may need to present the project to the jury",https://nceg.gov.in/index,NtzGueQeF7zCvznHEeCsTe
